metric_formula_name,business_meaning,implementation_path,line,code_snippet,inputs,outputs,edge_case_behavior,fallback_behavior,precision_behavior,duplicate_implementations,status
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,132,recommendations.append('Tighten early-stage collections and underwriting triggers to reduce roll-forward migration.'),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,136,"return ['Maintain underwriting and collections cadence with weekly KPI monitoring.', 'Track executive unit economics (CAC, margin, churn) as portfolio grows.']",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,139,def _build_kpi_summary_text(kpis: list[Any]) -> str:,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,142,formula = k.context.formula if k.context is not None else 'n/a',inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,146,"def _publish_kpi_metrics(kpis: list[Any], category: str='portfolio') -> None:",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,149,for kpi in kpis:,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,150,"exporter.publish_kpi_result(kpi_name=str(kpi.id), kpi_result={'value': float(kpi.value), 'threshold_status': str(getattr(kpi, 'threshold_status', 'not_configured')), 'thresholds': getattr(kpi, 'thresholds', None) or {}, 'unit': str(getattr(kpi, 'unit', 'unknown'))}, category=category)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,152,"logger.warning('KPI metrics publishing skipped: %s', exc)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,154,def _format_transition_block(roll_rates: 'RollRateAnalyticsResponse') -> str:,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,157,"return f""Portfolio Cure Rate: {roll_rates.summary.portfolio_cure_rate_pct}%\nPortfolio Roll-Forward Rate: {roll_rates.summary.portfolio_roll_forward_rate_pct}%\nWorst Migration Path: {roll_rates.summary.worst_migration_path or 'n/a'}\nBest Cure Source: {roll_rates.summary.best_cure_source or 'n/a'}\",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
npl,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,159,def _avg_mature_npl(vintage: 'VintageCurveResponse') -> float:,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,162,"return round(sum(mature_ratios) / len(mature_ratios), 2)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,164,"async def _run_orchestrated_full_analysis(request: 'LoanPortfolioRequest', service: 'KPIService', kpi_summary: str) -> tuple[str, str]:",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,174,"initial_context = {'portfolio_data': f""Recent KPI Snapshot:\n{kpi_summary}\nTarget Loans: {', '.join(loan_ids_from_request)}"", 'risk_stratification': risk_stratification.model_dump_json(), 'vintage_data': vintage_curves.model_dump_json(), 'risk_heatmap': json.dumps(risk_heatmap)}",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,179,"async def _run_local_full_analysis(request: 'LoanPortfolioRequest', service: 'KPIService', kpis: list[Any], roll_rates: 'RollRateAnalyticsResponse') -> tuple[str, str]:",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
par30,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,182,"par30 = _get_kpi_value(kpis, ['par_30', 'par30'], 0.0)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,190,clv_cac_ratio = clv / cac if cac > 0 else 0.0,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
par60,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,196,"par60 = _get_kpi_value(kpis, ['par_60', 'par60'], advanced_risk.par60)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
par60,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,197,"risk_heatmap = f'1-30:{round(dpd_1_30, 2)}% | 31-60:{round(dpd_31_60, 2)}% | 60+:{round(par60, 2)}%'",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
par30,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,200,risk_status = 'CRITICAL' if par30 > 10 or advanced_risk.par90 > 5 else 'STABLE',inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
par30,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,202,summary = f'PROPORTIONAL PORTFOLIO ANALYSIS ({risk_status})\n-------------------------------------------\nPortfolio Size: {loans_count} active loans\nRisk stratification: {strat_summary}\nRisk Heatmap: {risk_heatmap}\nRisk exposure (PAR30): {par30}%\nRisk exposure (PAR60): {advanced_risk.par60}%\nSe,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,205,"async def _resolve_full_analysis_summary(request: 'LoanPortfolioRequest', service: 'KPIService', kpis: list[Any], kpi_summary: str, roll_rates: 'RollRateAnalyticsResponse') -> tuple[str, str]:",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,209,"logger.info('Using High-Fidelity Local Analytical Engine: %s', orch_err)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,214,"Instrumentator().instrument(app).expose(app, endpoint='/metrics')",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,216,logger.warning('prometheus-fastapi-instrumentator not installed; /metrics disabled'),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,217,"_RATE_LIMIT_EXEMPT = {'/health', '/metrics', '/metrics/kpis', DOCS_PATH, '/openapi.json', REDOC_PATH}",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,218,"_AUTH_PATHS = {'/auth/token', '/auth/login', '/auth/refresh'}",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,227,"return JSONResponse(status_code=429, content={'detail': 'Rate limit exceeded. Please retry later.'}, headers={'Retry-After': '10'})",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,234,"jwt_exempt_paths = {item.strip() for item in os.getenv('API_JWT_EXEMPT_PATHS', f'/health,/metrics,/metrics/kpis,{DOCS_PATH},/openapi.json,{REDOC_PATH}').split(',') if item.strip()}",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,244,if path in jwt_exempt_paths or path.startswith(DOCS_PATH) or path.startswith(REDOC_PATH) or path.startswith('/openapi'):,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,258,"payload = jwt.decode(token, jwt_secret, **decode_kwargs)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,267,"correlation_id = request.headers.get('X-Correlation-ID', str(uuid.uuid4()))",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,270,response.headers['X-Correlation-ID'] = correlation_id,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,273,"@app.post('/monitoring/events', response_model=EventsListResponse)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,282,"@app.get('/monitoring/events', response_model=EventsListResponse)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,300,@app.post('/monitoring/events/ack'),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,310,@app.post('/monitoring/events/{event_id}/ack'),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,324,"@app.post('/monitoring/commands', response_model=CommandsListResponse)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,333,"@app.get('/monitoring/commands', response_model=CommandsListResponse)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,345,@app.patch('/monitoring/commands/{cmd_id}'),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,362,@app.get('/health'),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,366,@app.get('/metrics/kpis'),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,369,"return Response(content=metrics_text, media_type='text/plain; version=0.0.4')",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,371,"@app.post('/analytics/kpis', response_model=KpiResponse)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,379,source = 'realtime-request' if request.loans else 'production-snapshot',inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,385,"@app.get('/analytics/kpis/coverage', response_model=KpiCoverageResponse)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,390,missing_catalog_kpis = sorted(set(catalog_kpis) - set(implemented_catalog_kpis)),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,396,"@app.post('/analytics/guardrails', response_model=GuardrailsResponse)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,400,return GuardrailsResponse(**result),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,405,"@app.post('/analytics/kpis/{kpi_id}', response_model=KpiSingleResponse)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,407,"kpi_key_map = {'par30': 'PAR30', 'par90': 'PAR90', 'collection-rate': 'COLLECTION_RATE', 'default-rate': 'DEFAULT_RATE', 'total-loans-count': 'TOTAL_LOANS_COUNT', 'loss-rate': 'LOSS_RATE', 'recovery-rate': 'RECOVERY_RATE', 'cash-on-hand': 'CASH_ON_HAND', 'cac': 'CAC', 'gross-margin-pct': 'GROSS_MARG",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,413,"raise HTTPException(status_code=400, detail=f'Unknown KPI identifier: {kpi_id!r}')",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,418,"kpi = next((k for k in kpis if k.id == db_key), None)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,420,kpi = await service.get_kpi_by_id(db_key),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,421,if not kpi:,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,422,"raise HTTPException(status_code=404, detail=f'KPI {kpi_id} not found')",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,423,"_publish_kpi_metrics([kpi], category='portfolio')",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,424,return kpi,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,431,@app.websocket('/analytics/kpis/stream'),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,441,"logger.error('KPI stream fetch failed: %s', fetch_exc)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,442,"await websocket.send_json({'event': 'error', 'detail': 'KPI fetch failed — stream terminated'})",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,446,"payload = {'event': 'kpi_snapshot', 'timestamp': datetime.now(timezone.utc).isoformat(), 'kpis': [kpi.model_dump(mode='json') for kpi in kpis], 'source': 'realtime-stream'}",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,452,logger.info('KPI stream client disconnected'),inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
kpi,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,454,"logger.error('Error in KPI stream endpoint: %s', e)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,458,"def _raise_internal_http_error(endpoint_name: str, exc: Exception) -> None:",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,462,"@app.post('/analytics/risk-alerts', response_model=RiskAlertsResponse)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
ltv,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,465,ltv = request.ltv_threshold if request.ltv_threshold is not None else 80.0,inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
ltv,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,467,"risk_loans_data = await service.get_risk_alerts(loans=request.loans, ltv_threshold=ltv, dti_threshold=dti)",inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
generic_formula,Detected formula/metric-related computation in code,backend/python/apps/analytics/api/main.py,468,risk_loans = [RiskLoan(**loan) for loan in risk_loans_data],inferred from local expression,inferred from assignment/return usage,requires manual validation,see code snippet,check rounding/casting in expression,see duplicate map,PARTIAL
