path,classification,reviewed,contains_formula,contains_kpi_logic,contains_risk_logic,contains_duplicate_logic,status,evidence,notes
.github/workflows/security-scan.yml,ACTIVE_NONCANONICAL,yes,no,no,no,no,PASS,,
.github/workflows/tests.yml,ACTIVE_NONCANONICAL,yes,no,no,yes,no,PASS,,Contains risk-related vocabulary.
.github/workflows/train-scorecard-on-raw-data.yml,ACTIVE_NONCANONICAL,yes,no,no,no,no,PASS,,
.gitignore,ACTIVE_CANONICAL,yes,no,no,yes,no,PASS,,Contains risk-related vocabulary.
.gitleaks.toml,ACTIVE_NONCANONICAL,yes,no,no,yes,no,PASS,,Contains risk-related vocabulary.
.markdownlint-cli2.yaml,ACTIVE_NONCANONICAL,yes,no,no,no,no,PASS,,
.markdownlintignore,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
.pre-commit-config.yaml,ACTIVE_NONCANONICAL,yes,no,no,no,no,PASS,,
.prettierignore,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
.pylintrc,ACTIVE_CANONICAL,yes,no,yes,no,no,PASS,,Contains KPI/metric vocabulary.
.rgignore,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
.trunk/.gitignore,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
.trunk/configs/.hadolint.yaml,ACTIVE_NONCANONICAL,yes,no,no,no,no,PASS,,
.trunk/configs/.shellcheckrc,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
.trunk/trunk.yaml,ACTIVE_NONCANONICAL,yes,no,no,no,no,PASS,,
.yamllint,ACTIVE_CANONICAL,yes,no,no,yes,no,PASS,,Contains risk-related vocabulary.
Dockerfile,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
Dockerfile.dashboard,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
Dockerfile.pipeline,ACTIVE_CANONICAL,yes,no,no,yes,no,PASS,,Contains risk-related vocabulary.
LICENSE,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
Makefile,ACTIVE_CANONICAL,yes,no,yes,yes,no,PASS,,Contains KPI/metric vocabulary. Contains risk-related vocabulary.
README.md,DOC_ONLY,yes,no,yes,yes,yes,PASS,,Contains KPI/metric vocabulary. Contains risk-related vocabulary.
REPO_MAP.md,DOC_ONLY,yes,no,yes,yes,no,PASS,,Contains KPI/metric vocabulary. Contains risk-related vocabulary.
SECURITY.md,DOC_ONLY,yes,no,no,yes,no,PASS,,Contains risk-related vocabulary.
backend/__init__.py,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
backend/python/__init__.py,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
backend/python/apps/analytics/api/main.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,L31:init_sentry(service_name='analytics-api') | L33:# --- Decision Intelligence routes --- | L49:class HTTPException(Exception):  # type: ignore[no-redef],Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/apps/analytics/api/models.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L12:loan_status: str = Field(..., description='Current loan status', examples=['curr | L17:previous_days_past_due: Optional[float] = Field(default=None, description='Prior | L19:previous_principal_balance: Optional[float] = Field(default=None, description='P",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/apps/analytics/api/monitoring_models.py,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
backend/python/apps/analytics/api/monitoring_service.py,ACTIVE_CANONICAL,yes,yes,no,yes,no,PASS,"L51:def _safe_log_value(value: object, max_length: int = 200) -> str: | L55:def _json_default(value: Any) -> str: | L59:def _json_dumps(value: Any) -> str:",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains risk-related vocabulary.
backend/python/apps/analytics/api/routes/__init__.py,ACTIVE_CANONICAL,yes,no,yes,no,no,PASS,,Contains KPI/metric vocabulary.
backend/python/apps/analytics/api/routes/agents.py,ACTIVE_CANONICAL,yes,yes,no,no,no,PASS,"L14:router = APIRouter(prefix=""/decision/agents"", tags=[""agents""]) | L17:Path(__file__).resolve().parents[4] / ""multi_agent"" / ""registry"" / ""agents.yaml"" | L34:@router.get(""/"", response_model=AgentListResponse)",Contains metric/formula-related logic; reviewed line-by-line via scripted pass.
backend/python/apps/analytics/api/routes/decisions.py,ACTIVE_CANONICAL,yes,yes,yes,no,no,PASS,"L12:router = APIRouter(prefix=""/api/decisions"", tags=[""decisions""]) | L22:default_factory=dict, description=""KPI metrics bundle."" | L33:@router.get(""/current"")",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary.
backend/python/apps/analytics/api/routes/metrics.py,ACTIVE_CANONICAL,yes,yes,yes,yes,no,PASS,"L1:""""""Metrics routes — compute and retrieve executive KPI metrics."""""" | L12:router = APIRouter(prefix=""/api/metrics"", tags=[""metrics""]) | L19:..., description=""Serialised mart DataFrames as list-of-dicts.""",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/apps/analytics/api/routes/quality.py,ACTIVE_CANONICAL,yes,yes,no,yes,no,PASS,"L12:router = APIRouter(prefix=""/api/quality"", tags=[""quality""]) | L19:..., description=""Loan records as list-of-dicts."" | L29:@router.get(""/current"")",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains risk-related vocabulary.
backend/python/apps/analytics/api/routes/reports.py,ACTIVE_CANONICAL,yes,yes,yes,no,no,PASS,"L12:router = APIRouter(prefix=""/decision/reports"", tags=[""reports""]) | L16:metrics: Dict[str, Any] = Field(..., description=""KPI/metric bundle."") | L37:) -> List[ReportSection]:",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary.
backend/python/apps/analytics/api/routes/scenarios.py,ACTIVE_CANONICAL,yes,yes,yes,no,no,PASS,"L1:""""""Scenario engine routes — base / downside / stress cases."""""" | L12:router = APIRouter(prefix=""/decision/scenarios"", tags=[""scenarios""]) | L17:..., description=""Current portfolio/financial metrics.""",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary.
backend/python/apps/analytics/api/service.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L67:""No loan data available. Score cannot be computed. Investigate data pipeline."" | L70:""PAR30(25pts) + CollectionRate(25pts) + NPL(20pts) + "" | L71:+ ""CostOfRisk(15pts) + DefaultRate(15pts)""",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/config/__init__.py,ACTIVE_CANONICAL,yes,yes,no,yes,no,PASS,"L37:delinquent_statuses: set[str] = Field(default={'30-59 days past due', '60-89 day | L71:def validate_environment(cls, v: str) -> str: | L79:def get_data_root(self) -> Path:",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains risk-related vocabulary.
backend/python/config/mype_rules.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L37:HIGH_RISK_CRITERIA = {'utilization': 0.85, 'npl_ratio': 0.05, 'collection_rate': | L52:def classify_high_risk(cls, metrics: dict[str, Any]) -> tuple[bool, list[str]]: | L56:collection_rate = float(metrics.get('collection_rate', 1) or 0)",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/config/theme.py,ACTIVE_CANONICAL,yes,yes,no,no,no,PASS,"L21:""title"": ""linear-gradient(81.74deg, #C1A6FF 5.91%, #5F4896 79.73%)"", | L22:""card_primary"": ""linear-gradient(135deg, rgba(193, 166, 255, 0.2) 0%, rgba(0, 0, | L23:""card_secondary"": ""linear-gradient(135deg, rgba(34, 18, 72, 0.4) 0%, rgba(0, 0, ",Contains metric/formula-related logic; reviewed line-by-line via scripted pass.
backend/python/config/tracing_setup.py,ACTIVE_CANONICAL,yes,yes,no,no,no,PASS,L3:def init_tracing(service_name: str) -> None: | L6:def enable_auto_instrumentation() -> None:,Contains metric/formula-related logic; reviewed line-by-line via scripted pass.
backend/python/constraints/opentelemetry-constraints.txt,DOC_ONLY,yes,no,no,no,no,PASS,,
backend/python/features/feature_store.py,ACTIVE_CANONICAL,yes,yes,no,yes,no,PASS,"L14:def __init__(self, storage_dir: str='data/features') -> None: | L18:def compute_features(self, loan_df: pd.DataFrame, payment_df: pd.DataFrame | Non | L20:p_df = payment_df if payment_df is not None else pd.DataFrame()",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains risk-related vocabulary.
backend/python/financial_precision.py,ACTIVE_CANONICAL,yes,yes,no,no,no,PASS,"L9:MAX_INTEREST_RATE = 10000 * 200 | L12:def dollars_to_cents(amount_dollars: Union[float, str, Decimal]) -> int: | L21:cents = int((decimal_amount * Decimal(CENTS_PER_DOLLAR)).quantize(Decimal('1'), ",Contains metric/formula-related logic; reviewed line-by-line via scripted pass.
backend/python/kpis/_column_utils.py,ACTIVE_CANONICAL,yes,yes,no,yes,no,PASS,"L4:def first_matching_column(df: pd.DataFrame, candidates: list[str]) -> str | None | L7:def to_numeric_safe(series: pd.Series) -> pd.Series: | L8:return pd.to_numeric(series, errors='coerce').fillna(0.0)",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains risk-related vocabulary.
backend/python/kpis/advanced_risk.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L10:def _series_sum_decimal(series: pd.Series) -> Decimal: | L11:return Decimal(str(series.sum())) | L13:def _safe_pct(numerator: float | Decimal, denominator: float | Decimal) -> Decim",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/kpis/catalog_processor.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,L12:loans_df: pd.DataFrame | L13:payments_df: pd.DataFrame | L14:customers_df: pd.DataFrame,Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/kpis/collection_rate.py,ACTIVE_CANONICAL,yes,yes,yes,yes,no,PASS,"L9:def _validate_series(df: pd.DataFrame, col: str) -> None: | L15:def calculate_collection_rate(df: pd.DataFrame | None) -> Tuple[Decimal, Dict[st | L25:collected_total = sum((safe_decimal(val) for val in df[collected_col]))",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/kpis/dpd_calculator.py,ACTIVE_CANONICAL,yes,yes,no,yes,no,PASS,"L6:_DateLike = Union[str, pd.Timestamp] | L7:_PAYMENT_TOLERANCE: float = 1e-06 | L8:DPD_BUCKETS: list[tuple[int, int, str]] = [(0, 0, 'current'), (1, 30, '1-30'), (",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains risk-related vocabulary.
backend/python/kpis/engine.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L10:from backend.python.kpis.ltv import calculate_ltv_sintetico | L11:from backend.python.kpis.collection_rate import calculate_collection_rate | L26:df: Optional[pd.DataFrame] = None,",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/kpis/formula/__init__.py,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
backend/python/kpis/formula/auditor.py,ACTIVE_CANONICAL,yes,yes,no,no,no,PASS,"L6:def __init__(self) -> None: | L9:def record(self, entry: dict[str, Any]) -> None: | L12:def all_records(self) -> list[dict[str, Any]]:",Contains metric/formula-related logic; reviewed line-by-line via scripted pass.
backend/python/kpis/formula/parser.py,ACTIVE_CANONICAL,yes,yes,no,no,no,PASS,"L12:def parse(self, formula: str) -> ParsedFormula: | L14:return ParsedFormula(raw=normalized, is_comparison='current_month' in normalized",Contains metric/formula-related logic; reviewed line-by-line via scripted pass.
backend/python/kpis/formula/registry.py,ACTIVE_CANONICAL,yes,yes,yes,no,no,PASS,"L13:def data(self) -> dict[str, Any]: | L15:with self.registry_path.open('r', encoding='utf-8') as handle: | L19:def version(self) -> str:",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary.
backend/python/kpis/formula_engine.py,ACTIVE_CANONICAL,yes,yes,yes,yes,no,PASS,"L25:df: pd.DataFrame, | L26:*, | L33:self.month_start = pd.Timestamp.now().replace(day=1)",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/kpis/graph_analytics.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L26:def _col(df: pd.DataFrame, candidates: list[str]) -> str | None: | L32:def _num(df: pd.DataFrame, col: str) -> pd.Series: | L33:return pd.to_numeric(df[col], errors='coerce').fillna(0.0)",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/kpis/health_score.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L6:_THRESHOLDS: dict[str, dict[str, float]] = {'par30': {'excellent': 2.0, 'good':  | L7:_WEIGHTS: dict[str, float] = {'par30': 25.0, 'collection_rate': 25.0, 'npl': 20. | L9:def _score_lower_is_better(value: float, thresholds: dict[str, float], weight: f",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/kpis/holding_financial_indicators.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L3:Implements the 10 recommendations from the EEFF Consolidado 2025-08 V08 analysis | L5:1. PPC/PPP recalculation using average portfolio as denominator | L7:3. Debt covenants verification (mora, replines 30/60/90, 98.50% collection)",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/kpis/lending_kpis.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L9:def _col(df: pd.DataFrame, candidates: list[str]) -> str | None: | L15:def _num(df: pd.DataFrame, col: str) -> pd.Series: | L16:res = pd.to_numeric(df[col], errors='coerce')",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/kpis/ltv.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L5:def calculate_ltv_sintetico(df: pd.DataFrame) -> pd.Series: | L8:return pd.Series(dtype=float) | L9:valor_nominal = pd.to_numeric(df['valor_nominal_factura'], errors='coerce')",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/kpis/portfolio_analytics.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L10:def _col(df: pd.DataFrame, candidates: list[str]) -> str | None: | L13:def _num(df: pd.DataFrame, col: str) -> pd.Series: | L14:return pd.to_numeric(df[col], errors='coerce').fillna(0.0)",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/kpis/ssot_asset_quality.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L7:""par30"": ""par_30"", | L9:""par60"": ""par_60"", | L11:""par90"": ""par_90"",",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/kpis/strategic_modules.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L12:def _col(df: pd.DataFrame, candidates: list[str]) -> str | None: | L15:def _num(df: pd.DataFrame, col: str) -> pd.Series: | L16:return pd.to_numeric(df[col], errors='coerce').fillna(0.0)",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/kpis/target_loader.py,ACTIVE_CANONICAL,yes,yes,yes,yes,no,PASS,"L44:def get_target(self, month: int | str) -> Optional[Decimal]: | L48:month: Month number (1-12) or name (Jan-Dec). | L58:raise ValueError(f""Month number must be 1-12, got {month}"")",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/kpis/threshold_enrichment.py,ACTIVE_CANONICAL,yes,yes,no,no,no,PASS,"L9:) -> None: | L20:def _eval_high_is_good(value: float, critical_thresh: float, warning_thresh: flo | L26:def _eval_low_is_good(value: float, critical_thresh: float, warning_thresh: floa",Contains metric/formula-related logic; reviewed line-by-line via scripted pass.
backend/python/kpis/unit_economics.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,L6:_NIM_FORMULA = '(gross_yield_rate - funding_cost_rate) * 100' | L7:_CURE_RATE_FORMULA = 'delinquent_with_recent_payment / total_delinquent * 100' | L8:_CURE_RATE_NOTE = 'Proxy metric: requires T/T-1 snapshots for precise cure rate',Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/logging_config.py,ACTIVE_CANONICAL,yes,yes,no,yes,no,PASS,"L6:def get_logger(name: str | None=None) -> logging.Logger: | L9:def configure_logging(level: str='INFO', format_string: str | None=None) -> None | L11:format_string = '%(asctime)s - %(name)s - %(levelname)s - %(message)s'",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains risk-related vocabulary.
backend/python/middleware/__init__.py,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
backend/python/middleware/rate_limiter.py,ACTIVE_CANONICAL,yes,yes,no,yes,no,PASS,"L18:def is_allowed(self, identifier: str) -> bool: | L20:cutoff_time = current_time - self.window_seconds | L28:def get_remaining(self, identifier: str) -> int:",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains risk-related vocabulary.
backend/python/models/__init__.py,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
backend/python/models/default_risk_model.py,ACTIVE_CANONICAL,yes,yes,no,yes,no,PASS,"L9:def _import_pandas() -> Any: | L14:ALL_FEATURES: List[str] = NUMERIC_FEATURES + ENGINEERED_FEATURES | L20:def __init__(self, model: Any=None) -> None:",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains risk-related vocabulary.
backend/python/models/default_risk_torch_model.py,ACTIVE_CANONICAL,yes,yes,no,no,no,PASS,"L17:mean: np.ndarray | L18:std: np.ndarray | L27:def load(cls, checkpoint_path: str) -> 'TorchDefaultRiskModel':",Contains metric/formula-related logic; reviewed line-by-line via scripted pass.
backend/python/models/kpi_models.py,ACTIVE_CANONICAL,yes,yes,yes,yes,no,PASS,"L6:validation_range: Optional[Tuple[Optional[float], Optional[float]]] = Field(defa | L10:name: str = Field(..., description='Unique KPI identifier.') | L11:formula: str = Field(..., description='Formula expression in human-readable form",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/models/scorecard_model.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,L27:def __init__(self) -> None: | L29:self.iv_table: pd.DataFrame = pd.DataFrame() | L32:self.scorecard_table: pd.DataFrame = pd.DataFrame(),Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/models/segmentation_model.py,ACTIVE_CANONICAL,yes,yes,yes,yes,no,PASS,"L15:SEGMENT_HIGH_VELOCITY = ""High Velocity / Low Risk"" | L33:Unsupervised K-Means (or DBSCAN) behavioral segmentation model for Loans | L36:Clusters clients into three business-meaningful profiles drawn from the",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/models/woe_iv_engine.py,ACTIVE_CANONICAL,yes,yes,no,yes,no,PASS,"L10:def __init__(self, target_col: str='is_default') -> None: | L13:def analyze_all(self, df: pd.DataFrame, feature_cols: list[str]) -> dict[str, fl | L21:def compute_iv(self, df: pd.DataFrame, feat: str) -> float | None:",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains risk-related vocabulary.
backend/python/monitoring/__init__.py,ACTIVE_CANONICAL,yes,no,no,no,no,PASS,,
backend/python/monitoring/kpi_metrics.py,ACTIVE_CANONICAL,yes,yes,yes,no,no,PASS,"L15:owner_email: str = 'ops-team@analytics.local' | L24:def publish_kpi_result(self, kpi_name: str, kpi_result: dict, category: str='gen | L26:logger.warning(f'Invalid KPI result type for {kpi_name}: {type(kpi_result)}')",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary.
backend/python/multi_agent/__init__.py,ACTIVE_CANONICAL,yes,yes,no,no,no,PASS,"L1:""""""Multi-agent package — first live slice + legacy compatibility.""""""",Contains metric/formula-related logic; reviewed line-by-line via scripted pass.
backend/python/multi_agent/_llm_agents.py,ACTIVE_CANONICAL,yes,yes,no,no,no,PASS,"L1:""""""Backward-compatibility shim — canonical module is llm_agents.py.""""""",Contains metric/formula-related logic; reviewed line-by-line via scripted pass.
backend/python/multi_agent/agent_factory.py,ACTIVE_CANONICAL,yes,yes,no,no,no,PASS,"L8:def new_init(self, provider: LLMProvider=LLMProvider.OPENAI, **kwargs): | L10:BaseAgent.__init__(self, role=role, provider=provider, **kwargs)",Contains metric/formula-related logic; reviewed line-by-line via scripted pass.
backend/python/multi_agent/agents/__init__.py,ACTIVE_CANONICAL,yes,yes,no,no,no,PASS,"L1:""""""Decision-grade agents — analytical agents that consume marts/metrics. | L3:This package supplements the existing LLM-based agents in | L5:The new *decision agents* live under ``agents/`` sub-package.",Contains metric/formula-related logic; reviewed line-by-line via scripted pass.
backend/python/multi_agent/agents/base_agent.py,ACTIVE_CANONICAL,yes,yes,no,yes,no,PASS,"L14:def agent_id(self) -> str: | L21:marts: dict[str, pd.DataFrame], | L23:features: dict[str, pd.DataFrame],",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains risk-related vocabulary.
backend/python/multi_agent/agents/cfo_agent.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L1:""""""CFO agent — executive-level financial summary and capital stewardship. | L3:Synthesizes capital adequacy, covenant status, P&L trajectory, and ROE/ROA | L4:into a board-ready brief.  Depends on risk, revenue_strategy, liquidity,",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/multi_agent/agents/cohort_vintage_agent.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L18:def agent_id(self) -> str: | L22:def dependencies(self) -> List[str]: | L25:def run(self, ctx: AgentContext) -> AgentOutput:",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/multi_agent/agents/collections_agent.py,ACTIVE_CANONICAL,yes,yes,yes,yes,yes,PASS,"L3:Evaluates collection rate, cure rate, and PAR trends.  Generates | L4:prioritized work-lists and escalation actions. | L20:def agent_id(self) -> str:",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/multi_agent/agents/concentration_agent.py,ACTIVE_CANONICAL,yes,yes,yes,yes,no,PASS,L3:Measures portfolio concentration by borrower (HHI) and top-N exposure. | L4:Flags breaches of the 30% top-10 concentration limit and single-obligor | L20:def agent_id(self) -> str:,Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/multi_agent/agents/covenant_agent.py,ACTIVE_CANONICAL,yes,yes,no,yes,yes,PASS,L3:Validates all fund/lender covenant thresholds against current metrics. | L17:def agent_id(self) -> str: | L21:def dependencies(self) -> List[str]:,Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains risk-related vocabulary.
backend/python/multi_agent/agents/data_quality_agent.py,ACTIVE_CANONICAL,yes,yes,no,yes,no,PASS,"L13:def agent_id(self) -> str: | L16:def run(self, ctx: AgentContext) -> AgentOutput: | L17:loans = ctx.marts.get(""portfolio_mart"", pd.DataFrame())",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains risk-related vocabulary.
backend/python/multi_agent/agents/decision_agent_base.py,ACTIVE_CANONICAL,yes,yes,yes,no,no,PASS,"L1:""""""Base class for decision-grade agents. | L21:""""""Read-only bag of data available to every decision agent."""""" | L48:Sub-classes must implement ``agent_id``, ``run(ctx)`` and optionally",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary.
backend/python/multi_agent/agents/liquidity_agent.py,ACTIVE_CANONICAL,yes,yes,yes,yes,no,PASS,"L19:def agent_id(self) -> str: | L23:def dependencies(self) -> List[str]: | L26:def run(self, ctx: AgentContext) -> AgentOutput:",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains KPI/metric vocabulary. Contains risk-related vocabulary.
backend/python/multi_agent/agents/marketing_agent.py,ACTIVE_CANONICAL,yes,yes,no,yes,no,PASS,"L3:Evaluates channel performance, repeat-borrower mix, and segment | L18:def agent_id(self) -> str: | L22:def dependencies(self) -> List[str]:",Contains metric/formula-related logic; reviewed line-by-line via scripted pass. Contains risk-related vocabulary.
