id,severity,file,line,logic,why_dangerous,correct_behavior
CF-0012,MEDIUM,backend/python/apps/analytics/api/main.py,324,"@app.post('/monitoring/commands', response_model=CommandsListResponse)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0013,MEDIUM,backend/python/apps/analytics/api/main.py,333,"@app.get('/monitoring/commands', response_model=CommandsListResponse)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0014,MEDIUM,backend/python/apps/analytics/api/main.py,345,@app.patch('/monitoring/commands/{cmd_id}'),Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0015,MEDIUM,backend/python/apps/analytics/api/main.py,366,@app.get('/metrics/kpis'),Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0016,MEDIUM,backend/python/apps/analytics/api/main.py,369,"return Response(content=metrics_text, media_type='text/plain; version=0.0.4')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0017,MEDIUM,backend/python/apps/analytics/api/main.py,371,"@app.post('/analytics/kpis', response_model=KpiResponse)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0018,MEDIUM,backend/python/apps/analytics/api/main.py,385,"@app.get('/analytics/kpis/coverage', response_model=KpiCoverageResponse)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0019,MEDIUM,backend/python/apps/analytics/api/main.py,405,"@app.post('/analytics/kpis/{kpi_id}', response_model=KpiSingleResponse)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0020,MEDIUM,backend/python/apps/analytics/api/main.py,431,@app.websocket('/analytics/kpis/stream'),Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0021,MEDIUM,backend/python/apps/analytics/api/main.py,462,"@app.post('/analytics/risk-alerts', response_model=RiskAlertsResponse)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0022,MEDIUM,backend/python/apps/analytics/api/main.py,477,"@app.post('/analytics/advanced-risk', response_model=AdvancedRiskResponse, summary='Advanced Risk KPI Snapshot', response_description='Advanced delinquency, yield, concentration, and recovery metrics')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0023,MEDIUM,backend/python/apps/analytics/api/main.py,485,"@app.post('/analytics/cohorts', response_model=CohortAnalyticsResponse, summary='Origination Cohort Analytics', response_description='Vintage-level risk and collections metrics by origination month')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0024,MEDIUM,backend/python/apps/analytics/api/main.py,493,"@app.post('/analytics/vintages', response_model=VintageCurveResponse, summary='Vintage Curve Analytics', response_description='Evolution of delinquency by Months on Book (MoB)')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0025,MEDIUM,backend/python/apps/analytics/api/main.py,501,"@app.post('/analytics/segments', response_model=SegmentAnalyticsResponse, summary='Segment Drill-down Analytics', response_description='Segment-level KPI snapshot for risk and collections monitoring')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0026,MEDIUM,backend/python/apps/analytics/api/main.py,509,"@app.post('/analytics/roll-rates', response_model=RollRateAnalyticsResponse, summary='Roll-Rate and Cure-Rate Analytics', response_description='Transition matrix and cure/migration diagnostics across DPD buckets')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0027,MEDIUM,backend/python/apps/analytics/api/main.py,517,"@app.post('/analytics/stress-test', response_model=StressTestResponse, summary='Portfolio Stress Test', response_description='Baseline vs stressed projections for risk and unit-economics KPIs')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0028,MEDIUM,backend/python/apps/analytics/api/main.py,525,"@app.post('/analytics/risk-stratification', response_model=RiskStratificationResponse, summary='Portfolio Risk Stratification', response_description='Risk bucket breakdown and key portfolio decision flags')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0029,MEDIUM,backend/python/apps/analytics/api/main.py,533,"@app.post('/analytics/unit-economics', response_model=UnitEconomicsResponse, summary='Unit Economics & Credit Quality KPIs', response_description='NPL ratio, LGD, Cost of Risk, NIM, CAC payback period, cure rate, and DPD migration with recommended actions')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0030,MEDIUM,backend/python/apps/analytics/api/main.py,541,"@app.post('/analytics/full-analysis', response_model=FullAnalysisResponse)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0031,HIGH,backend/python/apps/analytics/api/main.py,564,"return FullAnalysisResponse(analysis_id=trace_id, summary=summary, recommendations=recommendations, kpis=kpis, risk_assessment=RiskAlertsResponse(high_risk_count=0, total_loans=len(loans), risk_ratio=0.0, high_risk_loans=[]), risk_stratification=risk_stratification, risk_heatmap=risk_heatmap_response, vintage_curves=vintage_curves_data, layered_analysis=layered_analysis, strategic_confirmations=strategic_data.get('strategic_confirmations', {}), executive_strip=strategic_data.get('executive_strip",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0032,MEDIUM,backend/python/apps/analytics/api/main.py,566,"@app.post('/analytics/decision-dashboard', response_model=DecisionDashboardResponse)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0033,MEDIUM,backend/python/apps/analytics/api/main.py,578,"@app.post('/analytics/executive-summary', response_model=ExecutiveAnalyticsResponse)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0034,MEDIUM,backend/python/apps/analytics/api/main.py,587,"@app.post('/data-quality/profile', response_model=DataQualityResponse)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0035,MEDIUM,backend/python/apps/analytics/api/main.py,594,"@app.post('/data-quality/validate', response_model=ValidationResponse)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0036,MEDIUM,backend/python/apps/analytics/api/main.py,665,"@app.post('/predict/default', response_model=DefaultPredictionResponse)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0037,MEDIUM,backend/python/apps/analytics/api/main.py,669,"raise HTTPException(status_code=503, detail='Risk model not available. Train and store a model under models/risk/ (xgb: default_risk_xgb.ubj, torch: default_risk_torch.pt).')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0038,MEDIUM,backend/python/apps/analytics/api/main.py,686,"@app.get('/analytics/nsm', response_model=NSMRecurrentTPVResponse)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0039,MEDIUM,backend/python/apps/analytics/api/models.py,17,"previous_days_past_due: Optional[float] = Field(default=None, description='Prior observation days past due used for roll-rate/cure-rate transition analytics.')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0040,MEDIUM,backend/python/apps/analytics/api/models.py,32,"tpv: Optional[float] = Field(default=None, description='Total processed value attributed to the loan/borrower')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0041,MEDIUM,backend/python/apps/analytics/api/models.py,33,"company: Optional[str] = Field(default=None, description='Company/portfolio owner segment')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0042,MEDIUM,backend/python/apps/analytics/api/models.py,40,"advisory_channel: Optional[str] = Field(default=None, description='Advisory/digital channel segment')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0043,MEDIUM,backend/python/apps/analytics/api/models.py,42,"collections_eligible: Optional[str] = Field(default=None, description='Y/N flag — whether this loan is eligible for active collection (procede_a_cobrar)')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0044,MEDIUM,backend/python/apps/analytics/api/models.py,63,"calculation_date: datetime = Field(..., description='Date/time of calculation')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0045,MEDIUM,backend/python/apps/analytics/api/models.py,73,"benchmark: Optional[float] = Field(None, description='Benchmark/target value used for KPI interpretation when available')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0046,MEDIUM,backend/python/apps/analytics/api/models.py,244,"par_deterioration_pct: float = Field(25.0, description='Relative deterioration applied to delinquency/default/loss metrics (%)')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0047,MEDIUM,backend/python/apps/analytics/api/models.py,277,"loans: List[LoanRecord] = Field(..., min_length=1, description='Loan records used for cohort/vintage aggregation')",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0048,MEDIUM,backend/python/apps/analytics/api/routes/agents.py,14,"router = APIRouter(prefix=""/decision/agents"", tags=[""agents""])",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0049,HIGH,backend/python/apps/analytics/api/routes/agents.py,46,"layer=a.get(""layer"", 0),",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0050,MEDIUM,backend/python/apps/analytics/api/routes/decisions.py,12,"router = APIRouter(prefix=""/api/decisions"", tags=[""decisions""])",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0051,MEDIUM,backend/python/apps/analytics/api/routes/metrics.py,12,"router = APIRouter(prefix=""/api/metrics"", tags=[""metrics""])",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0052,MEDIUM,backend/python/apps/analytics/api/routes/quality.py,12,"router = APIRouter(prefix=""/api/quality"", tags=[""quality""])",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0053,MEDIUM,backend/python/apps/analytics/api/routes/reports.py,12,"router = APIRouter(prefix=""/decision/reports"", tags=[""reports""])",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0054,MEDIUM,backend/python/apps/analytics/api/routes/reports.py,16,"metrics: Dict[str, Any] = Field(..., description=""KPI/metric bundle."")",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0055,MEDIUM,backend/python/apps/analytics/api/routes/reports.py,60,"f""- [{a.get('priority', '-')}] {a.get('action', 'N/A')} """,Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0056,MEDIUM,backend/python/apps/analytics/api/routes/scenarios.py,1,"""""""Scenario engine routes — base / downside / stress cases.""""""",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0057,MEDIUM,backend/python/apps/analytics/api/routes/scenarios.py,12,"router = APIRouter(prefix=""/decision/scenarios"", tags=[""scenarios""])",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0058,MEDIUM,backend/python/apps/analytics/api/routes/scenarios.py,17,"..., description=""Current portfolio/financial metrics.""",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0059,MEDIUM,backend/python/apps/analytics/api/service.py,157,"""formula"": ""SUM(collected_amount) / SUM(scheduled_amount) * 100"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0060,MEDIUM,backend/python/apps/analytics/api/service.py,164,"""formula"": ""SUM(principal_balance WHERE status = defaulted) / SUM(loan_amount) * 100"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0061,MEDIUM,backend/python/apps/analytics/api/service.py,169,"""formula"": ""SUM(last_payment_amount WHERE status = defaulted) / SUM(principal_balance WHERE status = defaulted) * 100"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0062,MEDIUM,backend/python/apps/analytics/api/service.py,179,"""formula"": ""SUM(interest_rate * principal_balance) / SUM(principal_balance) * 100"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0063,MEDIUM,backend/python/apps/analytics/api/service.py,189,"""formula"": ""AVG(loan_amount / appraised_value * 100)"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0064,MEDIUM,backend/python/apps/analytics/api/service.py,194,"""formula"": ""AVG(monthly_debt / borrower_income * 100)"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0065,MEDIUM,backend/python/apps/analytics/api/service.py,199,"""formula"": ""COUNT(loans WHERE status = defaulted) / COUNT(loans) * 100"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0066,MEDIUM,backend/python/apps/analytics/api/service.py,205,"""formula"": ""SUM(last_payment_amount) / SUM(total_scheduled) * 100"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0067,MEDIUM,backend/python/apps/analytics/api/service.py,210,"""formula"": ""SUM(origination_fee + origination_fee_taxes) / SUM(principal_amount) * 100"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0068,MEDIUM,backend/python/apps/analytics/api/service.py,220,"""formula"": ""SUM((borrower_exposure / total_exposure)^2) * 10000"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0069,MEDIUM,backend/python/apps/analytics/api/service.py,230,"""formula"": ""(current_period_balance - prior_period_balance) / prior_period_balance * 100"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0070,MEDIUM,backend/python/apps/analytics/api/service.py,262,"""implications"": ""Higher repeat usage can indicate retention strength and/or concentration build-up."",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0071,MEDIUM,backend/python/apps/analytics/api/service.py,275,"""formula"": ""SUM(tpv) / COUNT(DISTINCT borrower_id)"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0072,MEDIUM,backend/python/apps/analytics/api/service.py,280,"""formula"": ""SUM(marketing_spend) / COUNT(new_customers)"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0073,MEDIUM,backend/python/apps/analytics/api/service.py,285,"""formula"": ""(revenue - direct_costs - risk_cost_proxy) / revenue * 100"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0074,MEDIUM,backend/python/apps/analytics/api/service.py,295,"""formula"": ""inactive_90d / known_customers * 100"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0075,MEDIUM,backend/python/apps/analytics/api/service.py,300,"""formula"": ""SUM(principal_balance WHERE dpd >= 90 OR status = defaulted) / SUM(principal_balance) * 100"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0076,MEDIUM,backend/python/apps/analytics/api/service.py,302,"""implications"": ""Tracks severe delinquency/default exposure and should align with NPL_90 and PAR90 governance."",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0077,MEDIUM,backend/python/apps/analytics/api/service.py,305,"""formula"": ""(1 - Recovery Rate / 100) * 100"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0078,MEDIUM,backend/python/apps/analytics/api/service.py,315,"""formula"": ""(Interest Income - Interest Expense) / Average Earning Assets"",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0079,MEDIUM,backend/python/apps/analytics/api/service.py,684,risk_score = ltv_score + dti_score + dpd / 100 * 0.4,Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0080,HIGH,backend/python/apps/analytics/api/service.py,815,"""weighted_apr"": float(extended_kpis.get(""weighted_apr"", 0.0) or 0.0),",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0081,HIGH,backend/python/apps/analytics/api/service.py,816,"""weighted_fee_rate"": float(extended_kpis.get(""weighted_fee_rate"", 0.0) or 0.0),",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0082,HIGH,backend/python/apps/analytics/api/service.py,885,"score=float(payload.get(""score"", 0.0)),",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0083,HIGH,backend/python/apps/analytics/api/service.py,955,).fillna(0),Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0084,HIGH,backend/python/apps/analytics/api/service.py,957,"df[""principal_amount""] = pd.to_numeric(df[""loan_amount""], errors=""coerce"").fillna(0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0085,HIGH,backend/python/apps/analytics/api/service.py,959,"df[""interest_rate_apr""] = pd.to_numeric(df[""interest_rate""], errors=""coerce"").fillna(0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0086,HIGH,backend/python/apps/analytics/api/service.py,1328,"raw[""npl""].get(""npl_ratio"", 0.0),",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0087,HIGH,backend/python/apps/analytics/api/service.py,1369,"df[""loan_amount""] = pd.to_numeric(df[""loan_amount""], errors=""coerce"").fillna(0.0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0088,HIGH,backend/python/apps/analytics/api/service.py,1381,"dpd = pd.to_numeric(df[""days_past_due""], errors=""coerce"").fillna(0.0).clip(lower=0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0089,HIGH,backend/python/apps/analytics/api/service.py,1395,"pd.to_numeric(df[""last_payment_amount""], errors=""coerce"").fillna(0.0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0090,HIGH,backend/python/apps/analytics/api/service.py,1400,"pd.to_numeric(df[""total_scheduled""], errors=""coerce"").fillna(0.0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0091,HIGH,backend/python/apps/analytics/api/service.py,1465,"return pd.to_numeric(df[""days_past_due""], errors=""coerce"").fillna(0.0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0092,HIGH,backend/python/apps/analytics/api/service.py,1591,"df[""interest_rate""] = pd.to_numeric(df[""interest_rate""], errors=""coerce"").fillna(0.0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0093,HIGH,backend/python/apps/analytics/api/service.py,1593,"df[""loan_amount""] = pd.to_numeric(df[""loan_amount""], errors=""coerce"").fillna(0.0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0094,HIGH,backend/python/apps/analytics/api/service.py,1597,"dpd = pd.to_numeric(df[""days_past_due""], errors=""coerce"").fillna(0.0).clip(lower=0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0095,HIGH,backend/python/apps/analytics/api/service.py,1614,"pd.to_numeric(df[""last_payment_amount""], errors=""coerce"").fillna(0.0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0096,HIGH,backend/python/apps/analytics/api/service.py,1619,"pd.to_numeric(df[""total_scheduled""], errors=""coerce"").fillna(0.0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0097,HIGH,backend/python/apps/analytics/api/service.py,1736,"to_balance = pd.to_numeric(work[""principal_balance""], errors=""coerce"").fillna(0.0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0098,HIGH,backend/python/apps/analytics/api/service.py,1781,"(matrix_df[""loan_count""] / from_totals_count * 100).fillna(0.0).round(2)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0099,HIGH,backend/python/apps/analytics/api/service.py,1784,"(matrix_df[""exposure_usd""] / from_totals_exposure * 100).fillna(0.0).round(2)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0100,HIGH,backend/python/apps/analytics/api/service.py,1829,"cure_c = int(cure_counts.get(bucket, 0))",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0101,HIGH,backend/python/apps/analytics/api/service.py,1830,"roll_f_c = int(roll_forward_counts.get(bucket, 0))",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0102,HIGH,backend/python/apps/analytics/api/service.py,1831,"stable_c = int(stable_counts.get(bucket, 0))",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0103,HIGH,backend/python/apps/analytics/api/service.py,1932,"total_originated = float(pd.to_numeric(df[""loan_amount""], errors=""coerce"").fillna(0).sum())",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0104,HIGH,backend/python/apps/analytics/api/service.py,1934,"float(pd.to_numeric(df[""total_scheduled""], errors=""coerce"").fillna(0).sum())",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0105,MEDIUM,backend/python/apps/analytics/api/service.py,1954,par_factor = 1.0 + par_deterioration_pct / 100.0,Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0106,MEDIUM,backend/python/apps/analytics/api/service.py,1955,collection_factor = 1.0 + collection_efficiency_pct / 100.0,Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0107,MEDIUM,backend/python/apps/analytics/api/service.py,1956,recovery_factor = 1.0 + recovery_efficiency_pct / 100.0,Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0108,MEDIUM,backend/python/apps/analytics/api/service.py,1969,funding_cost_pct = float(funding_cost_bps) / 100.0,Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0109,MEDIUM,backend/python/apps/analytics/api/service.py,1988,"0.0, baseline.revenue_forecast_6m_usd * (1.0 - forecast_drag / 100.0)",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0110,MEDIUM,backend/python/apps/analytics/api/service.py,1999,"expected_credit_loss_usd=round(total_originated * stressed_loss / 100.0, 2),",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0111,MEDIUM,backend/python/apps/analytics/api/service.py,2000,"expected_collections_usd=round(total_scheduled * stressed_collection / 100.0, 2),",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0112,MEDIUM,backend/python/apps/analytics/api/service.py,2166,"what=f""Unit economics show a {clv_cac:.1f}x CLV/CAC ratio and {nim:.1f}% NIM."",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0113,MEDIUM,backend/python/apps/analytics/api/service.py,2181,"now_what=""Action: Optimize SMS/Call timing based on DPD migration patterns to further improve cure rates."",",Potential denominator safety issue (heuristic detection).,Guard denominator explicitly and define undefined-case semantics.
CF-0114,HIGH,backend/python/apps/analytics/api/service.py,2357,"balance = pd.to_numeric(df[balance_col], errors=""coerce"").fillna(0.0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0115,HIGH,backend/python/apps/analytics/api/service.py,2384,"cap_collected = pd.to_numeric(df[cap_col], errors=""coerce"").fillna(0.0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0116,HIGH,backend/python/apps/analytics/api/service.py,2388,"mdsc = pd.to_numeric(df[mdsc_col], errors=""coerce"").fillna(0.0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0117,HIGH,backend/python/apps/analytics/api/service.py,2404,"return float(pd.to_numeric(df[""principal_balance""], errors=""coerce"").fillna(0).sum())",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0118,HIGH,backend/python/apps/analytics/api/service.py,2405,return float(current_balance_series.fillna(0).sum()),Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0119,HIGH,backend/python/apps/analytics/api/service.py,2447,"tpv_series = pd.to_numeric(df[""tpv""], errors=""coerce"").fillna(0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
CF-0120,HIGH,backend/python/apps/analytics/api/service.py,2449,"tpv_series = pd.to_numeric(df[""loan_amount""], errors=""coerce"").fillna(0)",Silent default may mask missing/undefined financial values.,Use explicit NA/error path with business-approved fallback policy.
